"","PUBCHEM_ID"
"17",219123
"295",4775
"353",24180741
"384",54599265
"534",16685698
"596",219376
"629",11254
"721",690109
"740",126941
"742",460129
"830",736782
"1010",219563
"1011",219564
"1012",95307
"1013",219565
"1014",219566
"1026",2901
"1027",219573
"1063",219600
"1199",219648
"1338",219690
"1393",75420
"1433",219760
"1460",95318
"1507",219799
"1760",219939
"1895",15078
"1945",5351603
"2012",24180869
"2053",219999
"2186",31316
"2604",12688
"2626",4947
"2785",135399288
"2805",220284
"3062",29142
"3083",24180956
"3094",23654
"3262",94797
"3618",220625
"3799",6436750
"3808",11441
"3840",407288
"3847",220712
"3852",19103
"3907",142766
"3927",6870
"4060",64945
"4114",72675
"4184",5282363
"4232",220828
"4236",668053
"4272",72791
"4280",65237
"4281",72792
"4285",14161
"4290",24181037
"4378",24181064
"4432",6433371
"4512",220946
"4518",220951
"4582",54603154
"4623",221007
"4681",24181093
"4722",221037
"4728",19909
"4844",24181101
"4972",16043
"5031",16129878
"5048",79174
"5053",9283
"5066",69095
"5113",4871
"5192",16317
"5200",135403411
"5206",24181145
"5278",17584
"5283",13820
"5332",6825
"5337",79411
"5418",67115
"5485",221231
"5550",407450
"5551",6433478
"5620",221258
"5639",407452
"5703",221307
"5705",221309
"5816",701011
"5896",135436503
"5907",16682406
"5908",221375
"5920",407487
"6145",70875
"6266",8433
"6278",94880
"6477",899314
"6777",221765
"6883",221812
"6891",221819
"7233",222032
"7354",94902
"7420",222105
"7436",222114
"7519",457798
"7525",222156
"7534",222160
"7801",407617
"7811",73516
"7813",24181324
"7821",102162
"7853",75281
"8174",3034162
"8360",222439
"8552",13694
"8643",135436514
"8672",24181402
"8673",54605107
"8675",16955
"8786",16682740
"8974",54609012
"8982",24181416
"8994",54602012
"9037",72722
"9170",17649
"9291",101929
"9358",81528
"9598",68275
"9608",222760
"9610",135436529
"9612",20520
"9665",222778
"9667",24181516
"9706",5799
"9768",222840
"9771",222841
"9856",445639
"9921",4735
"9951",16388
"10036",222938
"10037",222939
"10483",5754
"10520",54598850
"10534",54609031
"10587",24181636
"10594",24181641
"10641",24181655
"10660",24181664
"10667",24181669
"10721",223253
"10848",223320
"11235",16953
"11240",16599
"11241",11980862
"11420",223647
"11452",223660
"11461",6967
"11511",223673
"11590",20684
"11624",223719
"11663",223750
"11667",223752
"11668",223753
"11713",80753
"11773",20441
"11841",223821
"11881",94975
"11897",10221
"11963",24181851
"11969",223883
"11981",223889
"11991",223899
"12097",69462
"12129",223984
"12181",408250
"12198",224004
"12516",24181914
"12517",24181915
"12650",224279
"12825",224423
"12865",11068
"13002",25926
"13006",24181963
"13051",224524
"13055",459702
"13151",5354553
"13162",54603804
"13204",95001
"13239",224604
"13275",24182013
"13307",45049470
"13316",224644
"13317",54609285
"13318",54602013
"13380",224687
"13397",31307
"13477",24182056
"13479",224741
"13483",224743
"13484",498042
"13502",3197
"13598",54603830
"13616",224810
"13625",54605076
"13628",224815
"13699",224859
"13724",224873
"13801",224935
"13831",224958
"13835",24182122
"13981",67011
"13984",224978
"13986",76123
"14009",49791635
"14022",5929688
"14034",225001
"14040",225006
"14073",54609322
"14079",54602016
"14186",137805
"14380",225223
"14548",225328
"14657",24182209
"14659",24182211
"14741",54605112
"14973",225483
"14974",225484
"14977",54609366
"15078",6271803
"15609",24182331
"15628",5280954
"15791",21144135
"15795",24182355
"15812",408791
"15813",5897951
"15886",225968
"15975",18981
"16034",226033
"16116",5351669
"16165",135421845
"16166",13797451
"16219",226107
"16222",135421850
"16239",408835
"16258",226118
"16520",5912102
"16729",5354670
"17061",226514
"17065",226518
"17245",226609
"17257",226619
"17275",24182498
"17551",226783
"17744",226857
"17759",5354710
"17762",226869
"18286",227098
"18451",227150
"18460",227158
"18613",5351688
"18758",227281
"18804",3611
"18877",227331
"18880",227334
"18883",227337
"18891",227345
"19139",227530
"19441",95122
"19630",227681
"19639",18156
"19645",5955
"19727",227746
"19728",9555790
"19760",227754
"19781",90481
"19802",5281691
"19912",92765
"19942",227830
"19976",227840
"19987",6741
"20514",227994
"20644",33144
"21061",24693
"21206",9500
"21356",228424
"21434",228480
"21518",228534
"21545",18064
"21588",228569
"21622",5922444
"21662",228612
"21666",228615
"21681",228622
"21683",228624
"21715",228635
"21728",5351497
"21914",2336
"21970",1674
"22201",110719
"22225",5351702
"22348",229013
"22709",135410720
"22842",5281707
"22945",80565
"22994",24183021
"23159",229453
"23173",229459
"23297",229543
"23345",9552058
"23416",5716814
"23418",54603596
"23477",5355002
"23833",229831
"23856",697963
"23936",6369925
"23994",5355031
"24030",229938
"24037",5351711
"24113",229969
"24189",1549990
"24692",230132
"24871",230232
"24913",81664
"25028",72908
"25454",230510
"25703",230621
"25818",66796
"25830",230690
"25846",230706
"25861",5351722
"26037",5929908
"26040",5351150
